SPA Эко,5000,4000,3000
22+11,Программы для рук и ног «Руки»+Массаж с проработкой «Спорт-oil»,120,1,8000
1+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,6400
20+43,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим»,90,1,6800
22+3,Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,7600
32+18,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо»,120,1,7600
31+7,"SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,6800
44+23,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Ноги»,120,1,7600
SPA Эко 2,10000,8000,6000
23+3,Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,7600
10+19,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Голова»,90,1,6000
1+43,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Слим»,120,1,8000
31+24,SPA - уход «Бархатное прикосновение»+Программы для рук и ног «Ноги»,120,1,6800
12+1,Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6800
12+10,Relax массаж «Тай Оил»+Массаж с проработкой «Спорт-oil»,120,1,7600
4+24,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Ноги»,120,1,6400
1+24,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Ноги»,120,1,6400
11,Массаж с проработкой «Спорт-oil»,90,1,6000
6+11,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Спорт-oil»",120,1,8000
SPA Эко 2,10000,8000,6000
15+22,Relax массаж Тай Оил + травяные мешочки+Программы для рук и ног «Руки»,120,1,7200
8+5,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»,150,1,8000
19+2,Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
19+44,Программы для лица и головы «Голова»+Программы для похудения «Слим и тай ойл»,120,1,7600
1+17,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж Стоун,150,1,8000
15+19,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Голова»,120,1,7200
17+4,Relax массаж Стоун+Массаж с проработкой «Восстанавливающий»,150,1,8000
18+44,Программы для лица и головы «Лицо»+Программы для похудения «Слим и тай ойл»,120,1,7600
12+31,Relax массаж «Тай Оил»+SPA - уход «Бархатное прикосновение»,120,1,7200
20+3,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,7600
8+1,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6800
23+13,Программы для рук и ног «Ноги»+Relax массаж «Тай Оил»,120,1,6800
SPA Эко 2,10000,8000,6000
23+9,Программы для рук и ног «Ноги»+Массаж с проработкой «Тай + травяные мешочки»,120,1,6800
1+31,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Бархатное прикосновение»,120,1,6800
44+18,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Лицо»,120,1,7600
18+20+1,Программы для лица и головы «Лицо»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
18+2,Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
28,Массаж в 4 руки «Тай Ойл в 4 руки»,60,1,7200
32+22,SPA - уход «Принцесса сиама»+Программы для рук и ног «Руки»,120,1,7600
18+11,Программы для лица и головы «Лицо»+Массаж с проработкой «Спорт-oil»,120,1,8000
17+19,Relax массаж Стоун+Программы для лица и головы «Голова»,120,1,6800
19+18+1,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
18+23+1,Программы для лица и головы «Лицо»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
31+1,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6800
SPA Эко 2,10000,8000,6000
6+13,"Массаж с проработкой «Спина, Шея, и Плечи»+Relax массаж «Тай Оил»",120,1,6800
17+18,Relax массаж Стоун+Программы для лица и головы «Лицо»,120,1,6800
8+7,"Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,6800
4+2,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,7600
19+9,Программы для лица и головы «Голова»+Массаж с проработкой «Тай + травяные мешочки»,120,1,6800
23+17,Программы для рук и ног «Ноги»+Relax массаж Стоун,120,1,6800
23+32,Программы для рук и ног «Ноги»+SPA - уход «Принцесса сиама»,120,1,7600
6+44,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим и тай ойл»",120,1,7600
6+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»",120,1,6400
18+17,Программы для лица и головы «Лицо»+Relax массаж Стоун,120,1,6800
SPA Эко 2,10000,8000,6000
16,Relax массаж Тай Оил + травяные мешочки,120,1,6800
17+22,Relax массаж Стоун+Программы для рук и ног «Руки»,120,1,6800
45,Программы для похудения «Талассотерапия»,120,1,8000
10+6,"Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,6000
23+15,Программы для рук и ног «Ноги»+Relax массаж Тай Оил + травяные мешочки,120,1,7200
22+17,Программы для рук и ног «Руки»+Relax массаж Стоун,120,1,6800
4+10,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спорт-oil»,120,1,7200
10+8,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Тай + травяные мешочки»,120,1,7600
1+10,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спорт-oil»,120,1,7200
32+19,SPA - уход «Принцесса сиама»+Программы для лица и головы «Голова»,120,1,7600
18+19+1,Программы для лица и головы «Лицо»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
18+43,Программы для лица и головы «Лицо»+Программы для похудения «Слим»,90,1,6800
19+22+1,Программы для лица и головы «Голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
SPA Эко 2,10000,8000,6000
14,Relax массаж «Тай Оил»,120,1,6400
23+18+1,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
20+11,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спорт-oil»,120,1,8000
10+22,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Руки»,90,1,6000
19+11,Программы для лица и головы «Голова»+Массаж с проработкой «Спорт-oil»,120,1,8000
10+23,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»,90,1,6000
33,SPA - уход «Королевская спа программа»,120,1,6400
43+18,Программы для похудения «Слим»+Программы для лица и головы «Лицо»,90,1,6800
32+23,SPA - уход «Принцесса сиама»+Программы для рук и ног «Ноги»,120,1,7600
4+43,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим»,120,1,8000
43+7,"Программы для похудения «Слим»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,8000
23+10,Программы для рук и ног «Ноги»+Массаж с проработкой «Спорт-oil»,90,1,6000
8+31,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Бархатное прикосновение»,120,1,7200
10+18,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо»,90,1,6000
23+43,Программы для рук и ног «Ноги»+Программы для похудения «Слим»,90,1,6800
SPA Эко 2,10000,8000,6000
6+23+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»",120,1,7200
19+20+1,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
31+4,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Восстанавливающий»,120,1,6800
22+5,Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»,120,1,6400
6+17,"Массаж с проработкой «Спина, Шея, и Плечи»+Relax массаж Стоун",120,1,6800
20+44,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим и тай ойл»,120,1,7600
34,SPA - уход «Мужской комплимент»,120,1,6400
31+10,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спорт-oil»,120,1,7600
1+8,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Тай + травяные мешочки»,120,1,6800
46,Программы для похудения «Имбирный коктейль»,120,1,8000
8+10,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Спорт-oil»,120,1,7600
SPA Эко 2,10000,8000,6000
19+15,Программы для лица и головы «Голова»+Relax массаж Тай Оил + травяные мешочки,120,1,7200
25,Массаж в 4 руки «Тай в 4 руки»,60,1,6400
20+32,Программы для лица и головы «Лицо и голова»+SPA - уход «Принцесса сиама»,120,1,7600
43+22,Программы для похудения «Слим»+Программы для рук и ног «Руки»,90,1,6800
6+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",120,1,6400
23+22+1,Программы для рук и ног «Ноги»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
20+17,Программы для лица и головы «Лицо и голова»+Relax массаж Стоун,120,1,6800
43+24,Программы для похудения «Слим»+Программы для рук и ног «Ноги»,120,1,8000
22+43,Программы для рук и ног «Руки»+Программы для похудения «Слим»,90,1,6800
31+12,SPA - уход «Бархатное прикосновение»+Relax массаж «Тай Оил»,120,1,7200
31+21,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо и голова»,120,1,7200
43+19,Программы для похудения «Слим»+Программы для лица и головы «Голова»,90,1,6800
18+15,Программы для лица и головы «Лицо»+Relax массаж Тай Оил + травяные мешочки,120,1,7200
19+32,Программы для лица и головы «Голова»+SPA - уход «Принцесса сиама»,120,1,7600
19+43,Программы для лица и головы «Голова»+Программы для похудения «Слим»,90,1,6800
SPA Эко 2,10000,8000,6000
44+19,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Голова»,120,1,7600
4+31,Массаж с проработкой «Восстанавливающий»+SPA - уход «Бархатное прикосновение»,120,1,6800
22+44,Программы для рук и ног «Руки»+Программы для похудения «Слим и тай ойл»,120,1,7600
19+17,Программы для лица и головы «Голова»+Relax массаж Стоун,120,1,6800
6+43,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим»",90,1,6800
4+17,Массаж с проработкой «Восстанавливающий»+Relax массаж Стоун,150,1,8000
10+21,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо и голова»,120,1,7600
22+32,Программы для рук и ног «Руки»+SPA - уход «Принцесса сиама»,120,1,7600
1+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,120,1,6400
15+18,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Лицо»,120,1,7200
6+32,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Принцесса сиама»",120,1,7600
SPA Эко 2,10000,8000,6000
17+7,"Relax массаж Стоун+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8000
10+1,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
22+13,Программы для рук и ног «Руки»+Relax массаж «Тай Оил»,120,1,6800
44+22,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Руки»,120,1,7600
31+8,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Тай + травяные мешочки»,120,1,7200
20+17,Программы для лица и головы «Лицо и голова»+Relax массаж Стоун,120,1,6800
23+17,Программы для рук и ног «Ноги»+Relax массаж Стоун,120,1,6800
14,Relax массаж «Тай Оил»,120,1,6400
8+31,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Бархатное прикосновение»,120,1,7200
18+15,Программы для лица и головы «Лицо»+Relax массаж Тай Оил + травяные мешочки,120,1,7200
17+23,Relax массаж Стоун+Программы для рук и ног «Ноги»,120,1,6800
12+1,Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6800
SPA Норм 2,16000,12800,9600
45+19,Программы для похудения «Талассотерапия»+Программы для лица и головы «Голова»,150,1,10000
19+4+3+6,"Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
20+36,Программы для лица и головы «Лицо и голова»+SPA - уход «Обновление и тонус»,240,1,12800
23+36,Программы для рук и ног «Ноги»+SPA - уход «Обновление и тонус»,240,1,12800
23+15+2,Программы для рук и ног «Ноги»+Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
33+18+2,SPA - уход «Королевская спа программа»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
19+35,Программы для лица и головы «Голова»+SPA - уход «Целебные травы»,210,1,10800
18+12+2,Программы для лица и головы «Лицо»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
31+4+3,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
34+11,SPA - уход «Мужской комплимент»+Массаж с проработкой «Спорт-oil»,210,1,12400
43+45,Программы для похудения «Слим»+Программы для похудения «Талассотерапия»,180,1,12800
32+19+1,SPA - уход «Принцесса сиама»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
18+46,Программы для лица и головы «Лицо»+Программы для похудения «Имбирный коктейль»,150,1,10000
34+32,SPA - уход «Мужской комплимент»+SPA - уход «Принцесса сиама»,210,1,12000
1+46,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Имбирный коктейль»,180,1,11200
SPA Норм 2,16000,12800,9600
45+21,Программы для похудения «Талассотерапия»+Программы для лица и головы «Лицо и голова»,180,1,11600
22+17+2,Программы для рук и ног «Руки»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
34+44,SPA - уход «Мужской комплимент»+Программы для похудения «Слим и тай ойл»,210,1,12000
43+15,Программы для похудения «Слим»+Relax массаж Тай Оил + травяные мешочки,150,1,10000
23+4+1+6,"Программы для рук и ног «Ноги»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,10400
8+34,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Мужской комплимент»,180,1,10000
20+17+2,Программы для лица и головы «Лицо и голова»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
31+16,SPA - уход «Бархатное прикосновение»+Relax массаж Тай Оил + травяные мешочки,180,1,10400
45+5,Программы для похудения «Талассотерапия»+Массаж с проработкой «Восстанавливающий»,210,1,12400
6+13+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,10000
1+10+4+6,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12400
22+13+2,Программы для рук и ног «Руки»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
34+18+1,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
17+44,Relax массаж Стоун+Программы для похудения «Слим и тай ойл»,180,1,10400
32+9,SPA - уход «Принцесса сиама»+Массаж с проработкой «Тай + травяные мешочки»,180,1,10400
SPA Норм 2,16000,12800,9600
31+1+4+6,"SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12000
4+8+2,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
15+9,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Тай + травяные мешочки»,180,1,10000
1+22+5+6,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
31+24+1,SPA - уход «Бархатное прикосновение»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
1+33+4,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Восстанавливающий»,240,1,12800
15+44,Relax массаж Тай Оил + травяные мешочки+Программы для похудения «Слим и тай ойл»,180,1,10800
15+11,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Спорт-oil»,180,1,11200
43+19+1,Программы для похудения «Слим»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,10000
32+43,SPA - уход «Принцесса сиама»+Программы для похудения «Слим»,150,1,10400
44+32,Программы для похудения «Слим и тай ойл»+SPA - уход «Принцесса сиама»,180,1,11200
8+23+3,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
22+21+1+4,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12000
22+24+3,Программы для рук и ног «Руки»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,10800
SPA Норм 2,16000,12800,9600
19+43+2,Программы для лица и головы «Голова»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
46+9,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Тай + травяные мешочки»,210,1,12800
4+46,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Имбирный коктейль»,180,1,11200
4+24+1,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
12+9+1,Relax массаж «Тай Оил»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
8+5+2,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
44+21+1,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
25+3,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,12000
22+43+1,Программы для рук и ног «Руки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,10000
12+6+3,"Relax массаж «Тай Оил»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,11200
12+31+1,Relax массаж «Тай Оил»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10400
35+6,"SPA - уход «Целебные травы»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,10800
33+5,SPA - уход «Королевская спа программа»+Массаж с проработкой «Восстанавливающий»,210,1,10800
22+6+2+5,"Программы для рук и ног «Руки»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,12800
43+13,Программы для похудения «Слим»+Relax массаж «Тай Оил»,150,1,9600
SPA Норм 2,16000,12800,9600
32+14,SPA - уход «Принцесса сиама»+Relax массаж «Тай Оил»,210,1,12000
10+34,Массаж с проработкой «Спорт-oil»+SPA - уход «Мужской комплимент»,180,1,10400
4+16,Массаж с проработкой «Восстанавливающий»+Relax массаж Тай Оил + травяные мешочки,180,1,10000
4+34+1,Массаж с проработкой «Восстанавливающий»+SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
15+43,Relax массаж Тай Оил + травяные мешочки+Программы для похудения «Слим»,150,1,10000
4+22+1+7,"Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
22+46,Программы для рук и ног «Руки»+Программы для похудения «Имбирный коктейль»,150,1,10000
28+15,Массаж в 4 руки «Тай Ойл в 4 руки»+Relax массаж Тай Оил + травяные мешочки,150,1,12400
22+44+1,Программы для рук и ног «Руки»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
46+1,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
32+11,SPA - уход «Принцесса сиама»+Массаж с проработкой «Спорт-oil»,180,1,11600
SPA Норм 2,16000,12800,9600
32+21+1,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
25+44,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Слим и тай ойл»,150,1,12000
17+32,Relax массаж Стоун+SPA - уход «Принцесса сиама»,180,1,10400
17+18+2,Relax массаж Стоун+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
8+14,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж «Тай Оил»,180,1,10000
12+45,Relax массаж «Тай Оил»+Программы для похудения «Талассотерапия»,180,1,11600
45+22,Программы для похудения «Талассотерапия»+Программы для рук и ног «Руки»,150,1,10000
23+17+3,Программы для рук и ног «Ноги»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
31+8+2,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
31+12+3,SPA - уход «Бархатное прикосновение»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
46+18,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Лицо»,150,1,10000
19+15+2,Программы для лица и головы «Голова»+Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
18+17+3,Программы для лица и головы «Лицо»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
SPA Норм 2,16000,12800,9600
19+6+3,"Программы для лица и головы «Голова»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
8+43+1,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11600
44+3,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
19+2+5+6,"Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
23+18+1+5,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
6+11+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,12400
18+35,Программы для лица и головы «Лицо»+SPA - уход «Целебные травы»,210,1,10800
12+1+4,Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,10000
6+8+3,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,11200
17+43,Relax массаж Стоун+Программы для похудения «Слим»,150,1,9600
22+11+1,Программы для рук и ног «Руки»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
SPA Норм 2,16000,12800,9600
10+31+1,Массаж с проработкой «Спорт-oil»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
23+13+2,Программы для рук и ног «Ноги»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
20+45,Программы для лица и головы «Лицо и голова»+Программы для похудения «Талассотерапия»,150,1,10000
18+4+2+6,"Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
25+18+1,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,11600
34+12,SPA - уход «Мужской комплимент»+Relax массаж «Тай Оил»,180,1,10000
18+43+2,Программы для лица и головы «Лицо»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
15+1+5,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
44+16,Программы для похудения «Слим и тай ойл»+Relax массаж Тай Оил + травяные мешочки,210,1,12400
12+25,Relax массаж «Тай Оил»+Массаж в 4 руки «Тай в 4 руки»,120,1,10000
SPA Норм 2,16000,12800,9600
15+18+1,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10400
28+8,Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Тай + травяные мешочки»,120,1,10800
46+43,Программы для похудения «Имбирный коктейль»+Программы для похудения «Слим»,180,1,12800
23+9+2,Программы для рук и ног «Ноги»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
20+22+2+4,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
1+19+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»,180,1,9600
31+7+1,"SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,10000
19+32+2,Программы для лица и головы «Голова»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
23+21+2,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
10+6+2,"Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,10400
8+33,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Королевская спа программа»,180,1,10000
SPA Норм 2,16000,12800,9600
